date,atm_strike,hedge_strike,direction,atm_price,hedge_price,total_premium
1092023,44400.0,44500.0,UP,242.4,527.0,769.4
4092023,44600.0,44700.0,UP,163.0,225.0,388.0
5092023,44500.0,44600.0,DOWN,409.35,92.3,501.65000000000003
6092023,44500.0,44600.0,DOWN,430.65,600.45,1031.1
7092023,44800.0,44900.0,UP,697.0,260.85,957.85
8092023,45200.0,45300.0,UP,631.65,283.2,914.8499999999999
11092023,45600.0,45700.0,UP,162.1,239.4,401.5
12092023,45500.0,45600.0,DOWN,403.85,112.4,516.25
13092023,45900.0,46000.0,UP,8.7,91.6,100.3
14092023,46000.0,46100.0,DOWN,411.05,241.8,652.85
15092023,46200.0,46300.0,UP,554.4,448.7,1003.0999999999999
18092023,46000.0,46100.0,DOWN,377.65,467.25,844.9
20092023,45400.0,45500.0,DOWN,308.0,524.25,832.25
21092023,44600.0,44700.0,DOWN,318.0,507.55,825.55
22092023,44600.0,44700.0,DOWN,300.7,444.0,744.7
25092023,44700.0,44800.0,UP,464.7,307.4,772.0999999999999
26092023,44600.0,44700.0,DOWN,264.05,343.35,607.4000000000001
27092023,44600.0,44700.0,UP,381.1,281.65,662.75
28092023,44300.0,44400.0,DOWN,245.75,302.5,548.25
29092023,44600.0,44700.0,UP,225.25,230.2,455.45
3102023,44400.0,44500.0,DOWN,146.7,724.15,870.8499999999999
4102023,44000.0,44100.0,DOWN,470.2,0.1,470.3
5102023,44200.0,44300.0,UP,744.35,263.3,1007.6500000000001
6102023,44400.0,44500.0,UP,213.0,277.25,490.25
9102023,43900.0,44000.0,DOWN,226.0,608.15,834.15
10102023,44400.0,44500.0,UP,150.25,508.75,659.0
11102023,44500.0,44600.0,DOWN,412.4,612.0,1024.4
12102023,44600.0,44700.0,DOWN,244.7,565.05,809.75
13102023,44200.0,44300.0,DOWN,400.15,572.4,972.55
16102023,44200.0,44300.0,UP,736.5,424.5,1161.0
17102023,44400.0,44500.0,DOWN,368.15,476.45,844.5999999999999
18102023,43900.0,44000.0,DOWN,342.7,536.7,879.4000000000001
19102023,43700.0,43800.0,UP,566.2,351.5,917.7
20102023,43700.0,43800.0,UP,482.7,375.0,857.7
23102023,43100.0,43200.0,DOWN,346.85,405.3,752.1500000000001
25102023,42800.0,42900.0,DOWN,301.75,361.6,663.35
26102023,42300.0,42400.0,DOWN,269.95,325.9,595.8499999999999
27102023,42800.0,42900.0,UP,282.1,258.5,540.6
30102023,43100.0,43200.0,UP,199.55,218.1,417.65
31102023,42800.0,42900.0,DOWN,107.3,119.85,227.14999999999998
