date,option_premium,spot_entry,spot_exit,exit_time,direction,spot_points,pnl,cumulative_pnl,peak,drawdown
4092023,388.0,44050.5,43996.5,09:30:00,UP,-54.0,-442.0,-442.0,-442.0,0.0
5092023,501.65,44179.1,44229.0,09:30:00,DOWN,-49.900000000001455,-551.5500000000014,-993.5500000000014,-442.0,-551.5500000000014
6092023,1031.1,44310.0,44305.25,09:30:00,DOWN,4.75,-1026.35,-2019.9000000000015,-442.0,-1577.9000000000015
7092023,957.85,44893.15,44919.05,09:30:00,UP,25.90000000000145,-931.9499999999986,-2951.85,-442.0,-2509.85
8092023,914.85,43927.9,43842.55,09:30:00,UP,-85.34999999999854,-1000.1999999999986,-3952.0499999999984,-442.0,-3510.0499999999984
11092023,401.5,44626.15,44640.85,09:30:00,UP,14.69999999999709,-386.8000000000029,-4338.850000000001,-442.0,-3896.8500000000013
12092023,516.25,44626.45,44630.95,09:30:00,DOWN,-4.5,-520.75,-4859.600000000001,-442.0,-4417.600000000001
13092023,100.3,44264.75,44335.15,09:30:00,UP,70.40000000000146,-29.899999999998542,-4889.5,-442.0,-4447.5
14092023,652.85,46145.75,46098.95,09:30:00,DOWN,46.80000000000291,-606.0499999999971,-5495.549999999997,-442.0,-5053.549999999997
15092023,1003.1,44135.8,44146.75,09:30:00,UP,10.94999999999709,-992.1500000000029,-6487.700000000001,-442.0,-6045.700000000001
18092023,844.9,44316.15,44311.3,09:30:00,DOWN,4.849999999998545,-840.0500000000014,-7327.750000000002,-442.0,-6885.750000000002
20092023,832.25,43606.6,43694.9,09:30:00,DOWN,-88.30000000000291,-920.5500000000029,-8248.300000000005,-442.0,-7806.300000000005
21092023,825.55,44755.45,44850.4,09:30:00,DOWN,-94.95000000000437,-920.5000000000043,-9168.800000000008,-442.0,-8726.800000000008
22092023,744.7,43806.8,43744.3,09:30:00,DOWN,62.5,-682.2,-9851.00000000001,-442.0,-9409.00000000001
25092023,772.0999999999999,43329.5,43234.3,09:30:00,UP,-95.19999999999708,-867.299999999997,-10718.300000000007,-442.0,-10276.300000000007
26092023,607.4000000000001,42665.4,42552.8,09:30:00,DOWN,112.59999999999854,-494.80000000000155,-11213.100000000008,-442.0,-10771.100000000008
27092023,662.75,42574.5,42543.05,09:30:00,UP,-31.44999999999709,-694.1999999999971,-11907.300000000005,-442.0,-11465.300000000005
28092023,548.25,44430.45,44394.0,09:30:00,DOWN,36.44999999999709,-511.8000000000029,-12419.100000000008,-442.0,-11977.100000000008
29092023,455.45,42619.95,42484.95,09:30:00,UP,-135.0,-590.45,-13009.550000000008,-442.0,-12567.550000000008
3102023,870.8499999999999,44524.65,44554.5,09:30:00,DOWN,-29.849999999998545,-900.6999999999985,-13910.250000000007,-442.0,-13468.250000000007
4102023,470.3,44605.65,44560.65,09:30:00,DOWN,45.0,-425.3,-14335.550000000007,-442.0,-13893.550000000007
5102023,1007.65,44500.5,44469.15,09:30:00,UP,-31.349999999998545,-1038.9999999999986,-15374.550000000005,-442.0,-14932.550000000005
6102023,490.25,44354.7,44385.15,09:30:00,UP,30.45000000000437,-459.79999999999563,-15834.35,-442.0,-15392.35
9102023,834.15,44101.7,44099.9,09:30:00,DOWN,1.7999999999956344,-832.3500000000043,-16666.700000000004,-442.0,-16224.700000000004
10102023,659.0,45302.4,45299.15,09:30:00,UP,-3.25,-662.25,-17328.950000000004,-442.0,-16886.950000000004
11102023,1024.4,45764.15,45693.15,09:30:00,DOWN,71.0,-953.4000000000001,-18282.350000000006,-442.0,-17840.350000000006
12102023,809.75,45398.4,45436.25,09:30:00,DOWN,-37.84999999999855,-847.5999999999985,-19129.950000000004,-442.0,-18687.950000000004
13102023,972.55,46056.35,46035.6,09:30:00,DOWN,20.75,-951.8,-20081.750000000004,-442.0,-19639.750000000004
16102023,1161.0,44533.95,44478.85,09:30:00,UP,-55.09999999999855,-1216.0999999999985,-21297.850000000002,-442.0,-20855.850000000002
17102023,844.5999999999999,46087.1,46153.2,09:30:00,DOWN,-66.09999999999854,-910.6999999999985,-22208.55,-442.0,-21766.55
18102023,879.4000000000001,43627.3,43625.55,09:30:00,DOWN,1.75,-877.6500000000001,-23086.2,-442.0,-22644.2
19102023,917.7,45632.75,45703.0,09:30:00,UP,70.25,-847.45,-23933.65,-442.0,-23491.65
20102023,857.7,45193.45,45201.3,09:30:00,UP,7.850000000005821,-849.8499999999942,-24783.499999999996,-442.0,-24341.499999999996
23102023,752.1500000000001,44563.0,44599.2,09:30:00,DOWN,-36.19999999999709,-788.3499999999972,-25571.849999999995,-442.0,-25129.849999999995
25102023,663.35,44678.8,44644.2,09:30:00,DOWN,34.60000000000582,-628.7499999999942,-26200.599999999988,-442.0,-25758.599999999988
26102023,595.8499999999999,44447.95,44457.3,09:30:00,DOWN,-9.35000000000582,-605.2000000000057,-26805.799999999992,-442.0,-26363.799999999992
27102023,540.6,44681.45,44630.95,09:30:00,UP,-50.5,-591.1,-27396.89999999999,-442.0,-26954.89999999999
30102023,417.65,43198.25,43078.7,09:30:00,UP,-119.55000000000292,-537.2000000000029,-27934.099999999995,-442.0,-27492.099999999995
