date,spot_price,atm_strike,hedge_strike,direction
1092023,44414.55,44400.0,44500.0,UP
4092023,44601.3,44600.0,44700.0,UP
5092023,44544.4,44500.0,44600.0,DOWN
6092023,44497.8,44500.0,44600.0,DOWN
7092023,44842.55,44800.0,44900.0,UP
8092023,45181.95,45200.0,45300.0,UP
11092023,45592.95,45600.0,45700.0,UP
12092023,45531.5,45500.0,45600.0,DOWN
13092023,45897.05,45900.0,46000.0,UP
14092023,45964.2,46000.0,46100.0,DOWN
15092023,46172.15,46200.0,46300.0,UP
18092023,45971.5,46000.0,46100.0,DOWN
20092023,45419.25,45400.0,45500.0,DOWN
21092023,44618.45,44600.0,44700.0,DOWN
22092023,44636.0,44600.0,44700.0,DOWN
25092023,44741.65,44700.0,44800.0,UP
26092023,44630.6,44600.0,44700.0,DOWN
27092023,44603.2,44600.0,44700.0,UP
28092023,44298.1,44300.0,44400.0,DOWN
29092023,44555.85,44600.0,44700.0,UP
3102023,44403.5,44400.0,44500.0,DOWN
4102023,44006.1,44000.0,44100.0,DOWN
5102023,44206.9,44200.0,44300.0,UP
6102023,44370.6,44400.0,44500.0,UP
9102023,43869.85,43900.0,44000.0,DOWN
10102023,44355.65,44400.0,44500.0,UP
11102023,44520.15,44500.0,44600.0,DOWN
12102023,44588.65,44600.0,44700.0,DOWN
13102023,44237.7,44200.0,44300.0,DOWN
16102023,44226.95,44200.0,44300.0,UP
17102023,44444.5,44400.0,44500.0,DOWN
18102023,43895.1,43900.0,44000.0,DOWN
19102023,43741.0,43700.0,43800.0,UP
20102023,43732.9,43700.0,43800.0,UP
23102023,43119.1,43100.0,43200.0,DOWN
25102023,42832.15,42800.0,42900.0,DOWN
26102023,42319.55,42300.0,42400.0,DOWN
27102023,42806.9,42800.0,42900.0,UP
30102023,43080.6,43100.0,43200.0,UP
31102023,42827.35,42800.0,42900.0,DOWN
